Telefonnummer,ansprache,Titel,vorname,nachname,firma,strasse,adresszusatz,plz,ort,email,url,Beschreibung,Kategorie
0049 291 20256 248,,,,,AM GmbH,,,,,,am-gmbh.de,Entwickler der Online-Vergabe-Management-Plattform EMMIE für rechtssichere und effiziente Vergabeprozesse.,Softwareentwicklung
0049 30 120849500,,,,,mernatix,,,,,,https://www.merantix.com/,"Merantix ist ein Berliner Unternehmen, das sich auf Künstliche Intelligenz (KI) spezialisiert hat. Es gründet und investiert in KI-Startups, berät Unternehmen bei der Umsetzung von KI-Lösungenh, baut eine starke KI-Community",
0049 89 54329-0,,,,,HOWDEN,,,,,,https://www.howdengroup.com/,"?Die Howden Group ist ein international tätiger Versicherungsmakler mit einem starken Fokus auf B2B-Dienstleistungen. In Deutschland agiert sie unter verschiedenen spezialisierten Marken wie Howden Caninenberg, Howden Euroassekuranz und Howden hendricks, die jeweils unterschiedliche Branchen und Bedürfnisse abdecken.",
0049 304 07 46 623,,,,,Foobar,,,,,,www.foobar.agency/de,"foobar Agency ist eine digitale Produktagentur, die sich auf die Entwicklung von Webanwendungen, Plattformen und maßgeschneiderter Software spezialisiert hat. Sie bietet Dienstleistungen wie UI/UX Design, Prototyping, Frontend- und Backend-Entwicklung an.",
0049 241 5109 159,,,,,RNA,,,,,,https://rna.de/de/,"?Die Rhein-Nadel Automation GmbH (RNA) mit Hauptsitz in Aachen ist ein traditionsreiches Familienunternehmen und führender Anbieter im Bereich Zuführtechnik. Mit über 450 Mitarbeitern an neun Produktionsstandorten weltweit liefert RNA jährlich bis zu 2.000 Zuführsysteme und bietet ein breites Spektrum an Zuführsystemen und Komponenten für verschiedene Branchen wie Automotive, Pharma, Elektronik, Kosmetik, Lebensmittel und Konsumgüter. Das Unternehmen kombiniert langjährige Erfahrung mit innovativen Technologien, einschließlich künstlicher Intelligenz und Multiphysiksimulation, um maßgeschneiderte und zuverlässige Lösungen für Kunden zu entwickeln.",
0049 62579084730,,,,,NovoSign GmbH,,,,,,novosign.de,"Anbieter von Digital Signage-Lösungen für Wartebereiche, POS, Empfangsbereiche und Gastronomie.",IT-Lösungen für medizinische Einrichtungen – Digitalisierung und Patientenkommunikation
0049 931 35 940,,,,,Va-Q-tec AG,,,,,,www.va-q-tec.com,"Spezialisiert auf hocheffiziente Vakuumisolationspaneele und thermische Energiespeicher für verschiedene Branchen, einschließlich Bau und Logistik.",
00451 49 95 20,,,,,Service-Bund GmbH & Co. KG,,,,,,servicebund.de,Lebensmittelgroßhändler mit Fokus auf Großküchen und Pflegeeinrichtungen.,Lebensmittelgroßhandel
0049 7041 81 51 890,,,,,SVG Rehasysteme GmbH,,,,,,https://www.svg-rehasysteme.de/,Hersteller von Reha-Trainingsgeräten für Therapieeinrichtungen,Rehatechnik / Medizintechnik
0049 371 33715100,,,,,Staffbase,,,,,,https://staffbase.com/de/,"Bietet eine interne Kommunikationsplattform, um Unternehmen und ihre Mitarbeiter zu vernetzen.",
0041 44 211 49 49,,,,,Teuscher,,,,,,https://www.teuscher.com/,Chocolatier,
0049 7544 966 200,,,,,KUMAVISION AG,,,,,,kumavision.com,Bietet ERP- und CRM-Softwarelösungen auf Basis von Microsoft Dynamics für verschiedene Branchen.,Softwareentwicklung
0049 30 762 39 00 00,,,,,Moving Intelligence GmbH,,,,,,movingintelligence.de,Spezialisiert auf Tourenplanungssoftware zur Optimierung von Logistikprozessen und Reduzierung von Tourzeiten.,"Telematik, Logistiksoftware"
0049 303 47 47 640,,,,,Projektron GmbH,,,,,,projektron.de,Entwickelt die webbasierte Projektmanagementsoftware Projektron BCS für Multiprojektmanagement.,Softwareentwicklung
0049 89 894 222 0,,,,,DocuWare GmbH,,,,,,bahesmartwork.de,"Bietet eine digitale Bauakte, die als zentrale Plattform für alle Projektdaten dient und die Ablage von Plänen, Genehmigungen, Verträgen und Bildern ermöglicht, um Suchaufwand zu reduzieren und Effizienz zu steigern.",
0049 62 13 39 960,,,,,Bihl Wiedemann,,,,,,https://www.bihl-wiedemann.de/de/,"?Bihl+Wiedemann GmbH ist ein international tätiges Unternehmen mit Sitz in Mannheim, Deutschland, das sich auf Automatisierungslösungen spezialisiert hat. Das Unternehmen entwickelt und fertigt Komponenten für die funktionale Sicherheit und Datenkommunikation in Maschinen und Anlagen, wobei der Schwerpunkt auf dem AS-Interface (ASi) liegt, einem weltweit standardisierten Feldbussystem für die erste Ebene der Automation.",
0049 431 556837-0,,,,,SmartLoC,,,,,,https://www.smartloc.de/,Entwickelt digitale B2B-Zahlungslösungen mit IoT-basiertem Frachtmonitoring für internationale Handelsunternehmen.,
0049 931 730 46-200,,,,,AI VERGABEMANAGER – Administration Intelligence AG,,,,,,ai-ag.de,"Software zur vollständigen Abwicklung des Vergabeprozesses nach aktuellem Vergaberecht, inklusive elektronischer Vergabeakte und verschlüsselter Angebotsabgabe.",Softwareentwicklung
0049 351 501 97 556,,,,,amarea,,,,,,https://www.amarea.de/,"?AMAREA Technology ist ein Spin-off des Fraunhofer-Instituts für Keramische Technologien und Systeme (IKTS) und spezialisiert sich auf die Herstellung von Multi-Material-3D-Druckern. Diese Drucker ermöglichen es, mehrere Hochleistungsmaterialien wie Keramiken, Metalle, Polymere und Verbundstoffe in einem einzigen Schritt zu kombinieren, um hochfunktionale Bauteile herzustellen",
0043 7472 605 0,,,,,Doka,,,,,,www.doka.com,"Internationaler Anbieter von Schalungstechnik und Dienstleistungen für alle Bereiche am Bau, mit Fokus auf innovative Lösungen und digitale Technologien.",
0049 89 716718350,,,,,FinTecSystems,,,,,,https://www.fintecsystems.com/de/,"Spezialisiert auf Open Banking Infrastruktur und Datenanalyse, ermöglicht Zugang zu über 6.000 Banken.",
0049  7435 810 10,,,,,KORA GmbH,,,,,,kora.at,"Experte für nachhaltige Verpackungen und Lohnabfüllung, spezialisiert auf Glas- und Kunststoffverpackungen.",Verpackungsindustrie
0041 32 374 31 31,,,,,ITRIS,,,,,,www.itris.ch,Schweizer Anbieter von MedTech-Dienstleistungen.,
0041 44 310 50 40,,,,,1stQuad Solutions AG,,,,,,1stquad.com,Integration von BIM-360 und Microsoft-Technologien zur digitalen Bauakte.,Softwareentwicklung
0049 711 99 373 - 2020,,,,,Optica Abrechnungszentrum Dr. Güldener GmbH,,,,,,https://www.optica.de/,"Bietet Abrechnung, Software und Beratung für Heilberufe",Gesundheits-IT / Abrechnung
0041 44 244 37 51,,,,,Oxyle,,,,,,oxyle.ch,Entfernung von PFAS-Chemikalien aus Wasser mittels innovativer Reaktoren,Greentech / Umwelttechnik
0044 20 1234 5678,,,,,DM7 stationär,,,,,,dm7-software.de,"Bietet eine ganzheitliche Komplettlösung für Pflegeeinrichtungen, die Verwaltung, Abrechnung, Einsatzplanung, Tourenplanung, Pflegeplanung und Dokumentation umfasst.",
0049 30 240 87 8000,,,,,Menutech GmbH,,,,,,https://menutech.com/de/,Automatisierte Menüplanung mit HIS-Anbindung.,Software für Gastronomie & Kliniken
0041 41 914 72 00,,,,,Bachmann Forming AG,,,,,,bachmann-kunststoff-verpackungen.ch,Produziert Verpackungen unter Reinraumbedingungen mit sterilisationsfähigen Materialien.,Verpackungsindustrie
0049 211 41 873 158,,,,,FleetGO GmbH,,,,,,fleetgo.de,Cloudbasierte Routenoptimierungssoftware zur Effizienzsteigerung in der Transportlogistik.,"Telematik, Logistiksoftware"
0049 30 120 201 01,,,,,Qdrant,,,,,,qdrant.tech,Vektorsuchmaschine für KI-Datenverarbeitung,KI-Infrastruktur / Datenbank
0049 761 4882 4693,,,,,Ondo sense,,,,,,https://ondosense.com/,"OndoSense GmbH (Freiburg) entwickelt hochpräzise Industrie-Radarsensoren für Distanzmessung, Positionierung und Kollisionsvermeidung. Die Sensoren sind besonders robust (z.?B. bei Staub, Dampf, Hitze) und werden u.?a. in der Metallindustrie, Logistik, dem Maschinenbau und der Landwirtschaft eingesetzt. Kernprodukte sind die Sensorserien apex und reach.",
0049 201 95 97 180,,,,,click worker,,,,,,www.clickworker.com,"Clickworker ist eine Plattform, die Unternehmen dabei unterstützt, Daten für KI-Systeme zu generieren, zu validieren und zu kennzeichnen. Mit einer globalen Crowd von über 6 Millionen registrierten Nutzern bietet Clickworker Dienstleistungen in Bereichen wie Computer Vision, Audio- und Sprachverarbeitung, Text- und NLP sowie LLM-Training an. Die Plattform ermöglicht es Unternehmen, auf eine flexible und skalierbare Belegschaft zuzugreifen, um vielfältige Aufgaben effizient zu erledigen.",
00800 8811 882,,,,,Helferportal,,,,,,www.helferportal.de,Plattform zur Pflegekraftvermittlung.,
0049 2232 94 53 50,,,,,editho AG,,,,,,editho.de,"Bietet innovative Vending-Konzepte und Automatenlösungen für Unternehmen, inklusive Full-Service-Dienstleistungen.",
0041 41 767 32 31,,,,,SÜDPACK Medica AG,,,,,,suedpack-medica.com,Bietet recyclingfähige Blisterverpackungen für pharmazeutische Produkte.,Pharma-Verpackungen
0049 711 2525 9820,,,,,Concular,,,,,,www.concular.de,"Spezialisiert auf die Entwicklung zirkulärer Materialströme auf Gebäudeebene mithilfe von Software, unterstützt die Bau- und Immobilienwirtschaft bei der Wiederverwendung von Materialien und Produkten.",
0049 208 6580,,,,,Havi Logistics,,,,,,www.havi.com,"Gegründet 1981, bietet Havi Logistikdienstleistungen für die Lebensmittelindustrie, insbesondere für Schnellrestaurants und Convenience-Food-Anbieter, mit Fokus auf nachhaltigen und effizienten Lieferketten.",
0049 6181 30 98 26 27,,,,,BK Vital,,,,,,https://www.bkvital.de/,"?BKVital ist ein auf betriebliche Krankenversicherungen (bKV) spezialisierter Anbieter. Das Unternehmen unterstützt Arbeitgeber dabei, ihren Mitarbeitern zusätzliche Gesundheitsleistungen anzubieten, um die Mitarbeiterbindung zu stärken und die Attraktivität als Arbeitgeber zu erhöhen. BKVital bietet maßgeschneiderte Lösungen für Unternehmen verschiedener Branchen und Größen an.",
0049 221 29 28 26 34,,,,,Lisios,,,,,,lisios.de,Bietet digitale Lösungen für die Immobilienverwaltung und -kommunikation.,PropTech
0049 5551 703-0,,,,,Thimm Group GmbH + Co. KG,,,,,,thimm.com,"Bietet nachhaltige Verpackungslösungen aus Wellpappe, einschließlich Blisterverpackungen.",Verpackungsindustrie
0049 6122 93690,,,,,BMI Deutschland GmbH,,,,,,www.bmigroup.com/de,Anbieter von Dach- und Abdichtungssystemen mit Schwerpunkt auf nachhaltigen und energieeffizienten Lösungen.,
0049 7123 9573990,,,,,Neura Robotics,,,,,,www.neura-robotics.com,Entwickelt kognitive Roboter mit künstlicher Intelligenz für verschiedene Industriezweige.,
0049 800 222 2928,,,,,BauWatch,,,,,,www.bauwatch.de,Spezialisiert auf temporäre Sicherheitslösungen für Baustellen durch mobile Überwachungssysteme.,
0049 893 83 2 920,,,,,abc cross media GmbH,,,,,,abccrossmedia.com,"Agentur mit Fokus auf PIM-Systeme, Print- & Digitalautomatisierung im B2B-Umfeld.",Digitalautomatisierung
0049 7931 493-0,,,,,Wirthwein AG,,,,,,www.wirthwein.de,"Hersteller von Kunststoffkomponenten für verschiedene Branchen, einschließlich Medizintechnik, mit Fokus auf Innovation und Qualität.",
00 49 391 66 2776 30,,,,,Flavura GmbH,,,,,,flavura.de,"Hersteller und Aufsteller von Kaffee- und Vending-Automaten sowie Anbieter von Automatenfüllprodukten wie Kaffee, Getränken und Snacks.",
0049 30 9144 9144,,,,,GastroSmart GmbH,,,,,,https://www.gastro-smart.com/,"Bestellsystem für Pflege, Schulen & Kitas – inkl. Catereranbindung.",Software für Gemeinschaftsverpflegung
0049 30 11223344,,,,,Jina AI,,,,,,jina.ai,Bietet KI-gestützte Suchmodelle für komplexe Datenstrukturen an.,
0049 3677 6897870,,,,,plano WFM,,,,,,plano-wfm.com,Software für effiziente und faire Personaleinsatzplanung in Kliniken und Praxen.,Workforce Management
0049 6222 82 00,,,,,Heidelberger Druckmaschinen AG,,,,,,https://www.heidelberg.com/global/de/index.jsp,"Führender Anbieter von Lösungen und Dienstleistungen für die Druckindustrie, mit Fokus auf digitale Transformation.",
0049 2234 911 410,,,,,Anwaltssoftware.net,,,,,,anwaltssoftware.net,Vergleichsportal für Kanzleisoftware mit Informationen zu Lösungen für Notariate.,Kanzleisoftware
004908821 60301 12,,,,,SimplifyU,,,,,,simplifyu.de,"Bietet eine benutzerfreundliche QM-Software für das Gesundheitswesen mit Funktionen wie Dokumentenlenkung, CIRS sowie Maßnahmen- und Risikomanagement.",
0043 18 90 98 76,,,,,Propster,,,,,,www.propster.tech,"Österreichisches Startup, das eine Plattform für die digitale Kundenbetreuung im Bauwesen anbietet, um die Kommunikation und Planung zu verbessern.",
0049 821 258 580,,,,,C&S Computer und Software GmbH,,,,,,cs-ag.de,"Entwickelt Softwarelösungen für das Sozial- und Gesundheitswesen, einschließlich Pflegedokumentation und Qualitätsmanagement.",
0049 30 20849740,,,,,Atheneum,,,,,,https://www.atheneum.ai/,"B2B-Forschungstechnologie, die Investmentfonds, Beratungsunternehmen und Unternehmen mit Experten weltweit verbindet.",
0049 231 17633-0,,,,,GREEN IT Das Systemhaus GmbH,,,,,,greenit-dp.solutions,"Bietet eine digitale Bauakte zur effizienten Verwaltung von Dokumenten und Prozessen im Bauwesen, um Flexibilität und Effizienz in Bauprojekten zu steigern.",
0043 4213 2040,,,,,Weissenseer Holz-System-Bau GmbH,,,,,,www.weissenseer.com,Anbieter von innovativen Holzbausystemen für energieeffizientes und nachhaltiges Bauen.,
0049 89 121 58 50,,,,,mybits.ai,,,,,,mybits.ai,KI-Software für die Automatisierung betrieblicher Entscheidungsprozesse.,KI & Unternehmenssoftware
0049 531 80 1000,,,,,Streiff & Helmold GmbH,,,,,,streiff.de,Entwickelt robuste Blisterverpackungen mit ansprechendem Design und nachhaltigen Materialien.,Verpackungsindustrie
0049 40 23969454,,,,,easygov,,,,,,https://www.easygov.swiss,Öffentliche Plattform – keine telefonische Akquise möglich,
0049 40 23969456,,,,,Creditreform,,,,,,https://www.creditreform.de,Forderungsmanagement & Bonität – gleiche Branche,
0049 40 99 99 79 21,,,,,Aidhere GmbH,,,,,,aidhere.com,"Anbieter der DiGA ""zanadio"" zur digitalen Adipositastherapie.",Gesundheits-IT
0049 511 165948 48,,,,,medondo AG,,,,,,medondo.com,"Entwickelt digitale Lösungen für Arztpraxen, einschließlich Praxismanagement und Patientenkommunikation.",Gesundheits-IT
00049 5221 8549864,,,,,xpertour GmbH,,,,,,xpertour.de,Bietet Software zur intelligenten Bündelung von Sendungen und optimalen Tourengestaltung für Speditionen.,"Softwareentwicklung, Logistik"
0049 89 51506-600,,,,,G&W Software AG,,,,,,gw-software.de,"Anbieter der AVA-Software CaliforniaX für Ausschreibung, Vergabe und Abrechnung mit BIM-Integration.",Softwareentwicklung
0049 800 79 76 800,,,,,Elaine Technologies GmbH,,,,,,elaine.io,Automatisiertes E-Mail- und Customer Journey Marketing für B2B-Kunden.,Marketing Automation
0049 89 746 43 204,,,,,Graphitsoft,,,,,,https://graphisoft.com/de/archicad,BIM-Software für Architekten zur Erstellung detaillierter 3D-Modelle und effizienter Planungsprozesse.,
0049 30 208498350,,,,,Spryker,,,,,,https://spryker.com/de/,Bietet eine modulare Commerce-Plattform für B2B- und B2C-Unternehmen.,
0049 89 99 74 36 845,,,,,iDWELL,,,,,,idwell.com,Digitale Plattform für Immobilienverwaltung mit CRM- und Kommunikationsfunktionen,PropTech
0049 901 2345678,,,,,Birdie,,,,,,birdie.care,"Entwickelt eine digitale Plattform für ambulante Pflegedienste, die Pflegedokumentation, Tourenplanung und Abrechnung in einer Lösung vereint.",
0049 911 938 546 20,,,,,TOMEY GmbH,,,,,,tomey.de,Spezialist für diagnostische Präzisionsinstrumente in der Ophthalmologie und Optometrie.,Medizintechnik – Ophthalmologie / Augenchirurgie
0049 89 92 99 220,,,,,Vectorworks,,,,,,www.vectorworks.net/de,CAD- und BIM-Software für Architektur und Landschaftsplanung mit flexiblen Design- und Modellierungswerkzeugen.,
0043 1 890 7654,,,,,Payuca GmbH,,,,,,www.payuca.com,"Österreichisches Startup, das digitale Lösungen für die Parkplatzverwaltung anbietet, um die Nutzung von Parkflächen zu optimieren.",
0049 561 220 717 0,,,,,Rehadapt Engineering GmbH,,,,,,rehadapt.com,Halterungssysteme für Kommunikationshilfen & Pflegebedarf,Assistive Technologien
0049 365 51 77 262,,,,,Tractus Team GmbH,,,,,,tractus.info,Tractus Team bietet das digitale ProDoku Dokumenten-Management-System zur zentralen Organisation aller papierbasierten und elektronischen Dokumente.,
0049 89 23 96 94 51,,,,,hanf im glück,,,,,,https://hanf-im-glueck.shop/,Medizinischer hanf /Legaler Hanf,
0049 79 61  92 49 18 0,,,,,Multipac Verpackungen GmbH,,,,,,multipac.de,Entwickelt nachhaltige Blisterverpackungen für verschiedene Branchen.,Verpackungsindustrie
0049 9295 914914,,,,,BetterReply GmbH,,,,,,better-reply.de,KI-gestützte Plattform zur automatisierten Beantwortung von Google-Bewertungen im Unternehmensstil.,IT-Lösungen für medizinische Einrichtungen – Digitalisierung und Patientenkommunikation
0049 7156 96 330,,,,,Kellergroup,,,,,,kellergroup.de,Bietet moderne Tourenoptimierung mit Echtzeit-Tracking und digitaler Disposition für maximale Zeiteinsparung.,Logistikdienstleistungen
0049 761 4514 0,,,,,Pyramid Computer GmbH,,,,,,pyramid-computer.com,"Entwickelt Self-Service-Kiosksysteme und Embedded-PCs für Industrie, Einzelhandel und Gesundheitswesen.","Entwicklung und Produktion von IT-Lösungen, einschließlich Self-Service-Kiosksystemen"
0049 89 9876 5432,,,,,Planstack,,,,,,www.planstack.de,"Entwickelt Softwarelösungen für die digitale Bemusterung und Kommunikation in Bauprojekten, um Prozesse zu optimieren und Fehler zu reduzieren.",
0049 30 398 018 0,,,,,ID Information und Dokumentation im Gesundheitswesen GmbH & Co. KGaA,,,,,,id-berlin.de,"Entwickelt Softwarelösungen für das Gesundheitswesen, einschließlich Tools für die Dienstplanung.",
0041 44 632 42 55,,,,,Oxyle,,,,,,www.oxyle.ch,"Schweizer Unternehmen, das innovative Lösungen zur Entfernung von Schadstoffen aus Abwasser entwickelt, insbesondere für die Industrie.",
0049 9374 97 300,,,,,biocon Medizintechnik GmbH,,,,,,biocon-online.de,"Die biocon Medizintechnik GmbH mit Sitz in Mönchberg (Bayern) ist ein inhabergeführter Hersteller von sterilen und unsterilen Einwegprodukten für den Klinik- und Praxisalltag. Das Unternehmen ist spezialisiert auf individuell zusammengestellte OP-Sets, insbesondere für die Ophthalmologie, sowie medizinische Schlauchsysteme und Produkte für die enterale Ernährung. Die Produktion erfolgt unter strengen Hygiene- und Qualitätsbedingungen am Standort Deutschland.",Medizintechnik – Ophthalmologie / Augenchirurgie
0049 40 79 18 990,,,,,SECO S.p.A.,,,,,,seco.com,Bietet mit der Clea-Plattform eine robuste IoT-Lösung für Edge-MLOps und KI-Modellbereitstellung.,IoT & Edge Computing
0049 6431 40 744 40,,,,,intratool GmbH,,,,,,https://www.intratool.de/,Bietet digitale Tools zur Einsatzplanung und Dokumentation im Gesundheitswesen,Gesundheits-IT / Software
0049 89 262 022 818,,,,,Recup,,,,,,https://recup.de/,"RECUP ist ein Anbieter von Mehrweg-Pfandsystemen für Getränke- und Speiseverpackungen – insbesondere RECUP (Kaffeebecher) und REBOWL (Essensschalen). Ziel ist es, Verpackungsmüll zu reduzieren. Die Produkte werden über ein bundesweites Partnernetzwerk aus Gastronomiebetrieben (Cafés, Restaurants, Kantinen, Bäckereien etc.) angeboten. Der Fokus liegt klar auf Nachhaltigkeit und Kreislaufwirtschaft.",
0043 1 343 4000,,,,,Tool Sesne,,,,,,https://toolsense.io/de/,"ToolSense entwickelt eine cloudbasierte Softwarelösung, mit der Unternehmen ihre Geräte, Maschinen und Anlagen digital verwalten können. Die Plattform ermöglicht es, den gesamten Lebenszyklus von Maschinen zu erfassen – von der Inventarisierung über Wartung und Instandhaltung bis hin zur Einsatzplanung. Durch die Integration von IoT-Geräten können auch Echtzeitdaten wie Laufzeiten oder Fehler automatisch erfasst werden. Ziel ist es, Prozesse zu automatisieren, Transparenz zu schaffen und die Betriebskosten zu senken, besonders in Branchen wie Bau, Facility Management und Industrie.",
0049 40 23969453,,,,,webid-solution,,,,,,https://www.webid-solutions.de,Beide im Bereich digitaler Prozesse & Compliance,
0049 40 41 49 600,,,,,OPHEO Solutions GmbH,,,,,,opheo.com,"Entwickelt OPHEO, eine Plattform für Transportmanagement mit integrierter Tourenplanung und Telematik.","Softwareentwicklung, Logistik"
0049 3641 5733-0,,,,,Pflegeprozessmanager,,,,,,pflegeprozessmanager.de,"Entwickelt eine Software zur Unterstützung des Pflegeprozesses, einschließlich Dokumentation, Planung und Evaluation der Pflegeleistungen.",
0049 43 664 99 87 96 05,,,,,Seven Vending,,,,,,seven-vending.com,"Spezialisiert auf Kaffee-, Kaltgetränke- und Snackautomaten mit über 10 Jahren Markterfahrung, bietet flexible Miet- und Kaufoptionen.",
0049 89 3303 7479-10,,,,,mobiloclean Handelsgruppe GmbH & Co. KG,,,,,,mobiloclean.de,Fachgroßhändler für Reinigungs- und Hygienebedarf mit B2B-Shopsystem und zentraler Abrechnung.,Hygiene & Reinigung
0049 71 51 140,,,,,Syntegon Technology GmbH,,,,,,syntegon.com,"Bietet nachhaltige Verpackungslösungen, einschließlich papierbasierter Blister.",Verpackungsmaschinen
0049 172 69 72 012,,,,,matchory,,,,,,www.matchory.com,"Matchory ist ein deutsches Technologieunternehmen, das eine KI-gestützte Plattform für die globale Lieferantensuche und das strategische Sourcing anbietet. Durch den Einsatz von Big Data und künstlicher Intelligenz ermöglicht Matchory Unternehmen, relevante Lieferanten weltweit in Echtzeit zu identifizieren und fundierte Beschaffungsentscheidungen zu treffen. Die Plattform bietet Funktionen wie Markt- und Lieferantenanalysen, interne Zusammenarbeit und unterstützt Nachhaltigkeits- und Compliance-Ziele.",
0043 316 225 455,,,,,Brickwise,,,,,,www.brickwise.at,"Österreichisches Unternehmen, das eine Plattform für Immobilieninvestitionen entwickelt hat, um den Zugang zu Immobilienprojekten zu erleichtern.",
0049 30 1208 4567,,,,,Kwikset,,,,,,www.kwikset.de,"Bietet digitale Zutrittskontrollsysteme für Baustellen, die Sicherheit und Verwaltung von Zugangsberechtigungen verbessern.",
0049 40 2286 2020,,,,,1Komma5° GmbH,,,,,,www.1komma5grad.com,"Anbieter von Lösungen für klimaneutrales Wohnen, spezialisiert auf Photovoltaik, Wärmepumpen und Ladeinfrastruktur für Elektrofahrzeuge.",
0049 302 08 48 230,,,,,gilspa,,,,,,https://www.glispa.com/,"Ähnelt vidify.me // Glispa ist ein internationales AdTech-Unternehmen, das sich auf Mobile Performance Marketing spezialisiert hat. Es bietet insbesondere Programmatic Advertising, User Acquisition und App-Monetarisierung für mobile Anwendungen an. Die Zielgruppe besteht in erster Linie aus App-Entwicklern, Agenturen und Marken, die ihre mobilen Kampagnen skalieren möchten",
0049 9352 180,,,,,rexroth,,,,,,https://www.boschrexroth.com/,"?Die Bosch Rexroth AG ist ein führender Anbieter von Antriebs- und Steuerungstechnologien mit Sitz in Stuttgart, Deutschland, und Hauptverwaltung in Lohr am Main. Das Unternehmen entstand 2001 durch den Zusammenschluss der Mannesmann Rexroth AG mit dem Geschäftsbereich Automatisierungstechnik von Bosch und ist eine 100-prozentige Tochter der Robert Bosch GmbH.",
0049 151-11036184,,,,,Security Robotics GmbH,,,,,,security-robotics.de,"Entwickelt autonome Robotertechnologien zur Prozessoptimierung in Logistik, Produktion und Sicherheit.",Robotik & autonome Systeme
0043 1 361 85 00,,,,,BauMaster,,,,,,https://bau-master.com/,"Bietet eine digitale Plattform für effizientes Baumanagement, einschließlich Dokumentation und Kommunikation.",
0049 30 22 18 40 880,,,,,DeskFlex Inc.,,,,,,deskflex.com,"Entwickelt effiziente Raumplanungssoftware für Krankenhäuser, um Ressourcen wie Untersuchungsräume, Operationssäle und Konferenzräume effektiv zu verwalten.",
0049 7161 37117,,,,,Confinerie bosch,,,,,,https://www.confiserie-bosch.de/,Chocolatier,
0049 40 52 1000,,,,,Schülke & Mayr GmbH,,,,,,schuelke.com,Anbieter von Infektionsprävention und Hygieneprodukten für professionelle Anwendungen.,Infektionsprävention
0049 456 7890123,,,,,PflegeOffice,,,,,,pflegeoffice.de,"Entwickelt eine Software für Pflegedokumentation und -planung, die den Pflegeprozess digital unterstützt.",
0049 89 215 285 0,,,,,Sitelife,,,,,,https://www.sitelife.de/,Bietet eine Plattform für digitales Baustellenmanagement und -dokumentation mit Fokus auf Prozessoptimierung.,
0049 641 98210-700,,,,,ibo Software GmbH,,,,,,ibo.de,"Bietet ibo netProject, eine Software für Multiprojektmanagement und Projektcontrolling.",Softwareentwicklung
0049 8342 969 640,,,,,Sauer Software GmbH,,,,,,sauer-os.de,Entwickelt Speditionssoftware mit integrierter Tourenplanung und Disposition für Logistikunternehmen.,"Softwareentwicklung, Logistik"
0049 30 220 560 700,,,,,voize GmbH,,,,,,voize.de,"Bietet eine Sprachsoftware zur Pflegedokumentation, die Pflegekräften ermöglicht, Dokumentationen per Spracheingabe zu erstellen.",
0049 2571 92901,,,,,LIS AG,,,,,,lis.eu,Entwickelt Speditionssoftware mit integrierter automatischer Tourenplanung für Logistiker und Versandhändler.,"Softwareentwicklung, Logistik"
049 30 33445566,,,,,Qdrant,,,,,,qdrant.tech,Entwickelt Vektordatenbanken zur Unterstützung von KI-Softwareentwicklungen.,
0049 234 298796 0,,,,,cosinex GmbH,,,,,,cosinex.de,Anbieter des Vergabemanagementsystems (VMS) für öffentliche Auftraggeber zur digitalen Abwicklung von Vergabeverfahren.,Softwareentwicklung
0049 761 151 47 0,,,,,Jedox AG,,,,,,jedox.com,"Entwickelt integrierte Lösungen für Planung, Analyse und Reporting.",Unternehmenssoftware
0049 8141 52710,,,,,Stumbaum GmbH,,,,,,www.stumbaum.de,Digitalisierte Bau- und Haustechnikleistungen.,
0049 731 93 40 96 0,,,,,ALFAPLAn GmbH,,,,,,alfaplan.de,Spezialisiert auf automatische Tourenplanung und Logistikoptimierung mit visueller Darstellung.,Logistiksoftware
0049 911 968 360,,,,,MID GmbH,,,,,,mid.de,Spezialisiert auf Modellierungswerkzeuge für Geschäftsprozesse und Datenarchitekturen.,Softwareentwicklung
0049 241 60 95 95 00,,,,,gts systems and consulting GmbH,,,,,,gts-systems.com,Bietet Softwarelösungen für effiziente Tourenplanung und -optimierung in der Logistikbranche.,"Softwareentwicklung, IT-Beratung"
0041 34 409 10 10,,,,,Vögeli AG,,,,,,voegeli.ch,Produziert Verpackungen nach Cradle to Cradle Certified® GOLD-Standard.,Verpackungsindustrie
0049 7121 123456,,,,,Baupilot,,,,,,www.baupilot.com,"Bietet eine digitale Plattform für die effiziente Planung und Abwicklung von Bauprojekten, insbesondere für Kommunen und Bauträger.",
0041 44 804 14 14,,,,,Boxler Informatik AG,,,,,,https://www.boxler.com/,"PKSMenu für Spitäler & Heime: Menüerfassung, Planung, Dokumentation.",IT für Gesundheitswesen (CH)
0049 89 20 70 28 84,,,,,Doctolib GmbH,,,,,,doctolib.de,Bietet eine Plattform für Online-Terminbuchungen und Videosprechstunden.,Gesundheits-IT
0049 911 580 668 0,,,,,SENSO® Dokumentation,,,,,,develop-group.de,"Bietet eine umfassende Lösung für die Pflegedokumentation, die speziell auf die Bedürfnisse der Altenhilfe zugeschnitten ist.",
0049 7121 9000,,,,,Manz,,,,,,https://www.manz.com/,"Hightech-Maschinenbauunternehmen mit Sitz in Reutlingen, Deutschland, das 1987 gegründet wurde. Das Unternehmen bietet Produktionslösungen für verschiedene Branchen, darunter Automobilindustrie, Elektromobilität, Batteriefertigung, Elektronik, Energie und Medizintechnik.",
