firma,url,audience_codes
Heidelberger Druckmaschinen AG,https://www.heidelberg.com/global/de/index.jsp,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Anwaltssoftware.net,anwaltssoftware.net,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SimplifyU,simplifyu.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Propster,www.propster.tech,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
C&S Computer und Software GmbH,cs-ag.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Atheneum,https://www.atheneum.ai/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
GREEN IT Das Systemhaus GmbH,greenit-dp.solutions,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Weissenseer Holz-System-Bau GmbH,www.weissenseer.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
mybits.ai,mybits.ai,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Streiff & Helmold GmbH,streiff.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
easygov,https://www.easygov.swiss,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Creditreform,https://www.creditreform.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Aidhere GmbH,aidhere.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
medondo AG,medondo.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
xpertour GmbH,xpertour.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
G&W Software AG,gw-software.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Elaine Technologies GmbH,elaine.io,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Graphitsoft,https://graphisoft.com/de/archicad,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Spryker,https://spryker.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
iDWELL,idwell.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Birdie,birdie.care,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
TOMEY GmbH,tomey.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Vectorworks,www.vectorworks.net/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Payuca GmbH,www.payuca.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Rehadapt Engineering GmbH,rehadapt.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Tractus Team GmbH,tractus.info,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
hanf im glück,https://hanf-im-glueck.shop/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Multipac Verpackungen GmbH,multipac.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BetterReply GmbH,better-reply.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Kellergroup,kellergroup.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Pyramid Computer GmbH,pyramid-computer.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Planstack,www.planstack.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ID Information und Dokumentation im Gesundheitswesen GmbH & Co. KGaA,id-berlin.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Oxyle,www.oxyle.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
biocon Medizintechnik GmbH,biocon-online.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SECO S.p.A.,seco.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
intratool GmbH,https://www.intratool.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Recup,https://recup.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Tool Sesne,https://toolsense.io/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
webid-solution,https://www.webid-solutions.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
OPHEO Solutions GmbH,opheo.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Pflegeprozessmanager,pflegeprozessmanager.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Seven Vending,seven-vending.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
mobiloclean Handelsgruppe GmbH & Co. KG,mobiloclean.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Syntegon Technology GmbH,syntegon.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
matchory,www.matchory.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Brickwise,www.brickwise.at,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Kwikset,www.kwikset.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
1Komma5° GmbH,www.1komma5grad.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
gilspa,https://www.glispa.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
rexroth,https://www.boschrexroth.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Security Robotics GmbH,security-robotics.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BauMaster,https://bau-master.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
DeskFlex Inc.,deskflex.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Confinerie bosch,https://www.confiserie-bosch.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Schülke & Mayr GmbH,schuelke.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
PflegeOffice,pflegeoffice.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Sitelife,https://www.sitelife.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ibo Software GmbH,ibo.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Sauer Software GmbH,sauer-os.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
voize GmbH,voize.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
LIS AG,lis.eu,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Qdrant,qdrant.tech,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
cosinex GmbH,cosinex.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Jedox AG,jedox.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Stumbaum GmbH,www.stumbaum.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ALFAPLAn GmbH,alfaplan.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
MID GmbH,mid.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
gts systems and consulting GmbH,gts-systems.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Vögeli AG,voegeli.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Baupilot,www.baupilot.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Boxler Informatik AG,https://www.boxler.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Doctolib GmbH,doctolib.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SENSO® Dokumentation,develop-group.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Manz,https://www.manz.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Billie,https://www.billie.io/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
tacterion,tacterion.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
CareMan,careman.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Bau Task,www.bautask.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
seerene,seerene.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Architext Software GmbH,architext.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Connext Vivendi,connext.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Betriebsmittel-Verwaltung.de,betriebsmittel-verwaltung.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
IGZ-Unternehmensgruppe,www.igz.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
